"","h_season","matchup","home_team","away_team","home_wins","away_wins","date","home_series_win","h_net_rating","h_off_eFG","h_off_tov_rate","h_off_reb_rate","h_off_ft_fga_ratio","h_def_eFG","h_def_tov_rate","h_def_reb_rate","h_def_ft_fga_ratio","h_top_3_players","h_top_3_vorp","h_best_player","h_best_vorp","a_net_rating","a_off_eFG","a_off_tov_rate","a_off_reb_rate","a_off_ft_fga_ratio","a_def_eFG","a_def_tov_rate","a_def_reb_rate","a_def_ft_fga_ratio","a_top_3_players","a_top_3_vorp","a_best_player","a_best_vorp","a_season","net_rating_diff","off_eFG_diff","off_tov_rate_diff","off_reb_rate_diff","off_ft_fga_ratio_diff","def_eFG_diff","def_tov_rate_diff","def_reb_rate_diff","def_ft_fga_ratio_diff","top_3_vorp_diff","best_vorp_diff"
"1",2003,"Boston Celtics at Indiana Pacers","Indiana Pacers","Boston Celtics",1,3,2003-04-19,NA,3.8,0.469,13.7,29,0.263,0.458,14.3,72.3,0.228,"Jermaine O'Neal, Metta World Peace, Brad Miller",9.5,"Jermaine O'Neal",3.5,-0.4,0.47,13.4,23.6,0.227,0.471,15.1,72.5,0.242,"Paul Pierce, Tony Delk, Antoine Walker",8.1,"Paul Pierce",5.4,2003,4.2,-0.001,0.299999999999999,-0.200000000000003,0.036,-0.013,-0.799999999999999,-0.200000000000003,-0.014,1.4,-1.9
"2",2003,"Milwaukee Bucks at New Jersey Nets","New Jersey Nets","Milwaukee Bucks",4,2,2003-04-19,1,5.7,0.468,13.8,28.7,0.252,0.46,15.7,73.1,0.225,"Jason Kidd, Kerry Kittles, Richard Jefferson",12.3,"Jason Kidd",6.5,0.2,0.5,12.2,25.6,0.222,0.494,13.5,69.9,0.237,"Michael Redd, Sam Cassell, Toni Kukoč",8.7,"Michael Redd",3.4,2003,5.5,-0.032,1.6,3.19999999999999,0.03,-0.034,2.2,3.19999999999999,-0.012,3.6,3.1
"3",2003,"Phoenix Suns at San Antonio Spurs","San Antonio Spurs","Phoenix Suns",4,2,2003-04-19,1,5.9,0.497,15.1,28.8,0.253,0.453,14.2,71.3,0.199,"Tim Duncan, David Robinson, Stephen Jackson",12.9,"Tim Duncan",7.7,1.2,0.473,13.7,29.7,0.211,0.47,14.8,70.3,0.222,"Shawn Marion, Stephon Marbury, Bo Outlaw",11.7,"Shawn Marion",6.5,2003,4.7,0.024,1.4,1,0.042,-0.017,-0.600000000000001,1,-0.023,1.2,1.2
"4",2003,"Portland Trail Blazers at Dallas Mavericks","Dallas Mavericks","Portland Trail Blazers",4,3,2003-04-19,1,8.4,0.498,10.9,25.4,0.213,0.473,14.8,70.9,0.221,"Dirk Nowitzki, Steve Nash, Michael Finley",14.2,"Dirk Nowitzki",7.3,2.9,0.489,14.5,30.2,0.223,0.483,14.9,72.3,0.194,"Rasheed Wallace, Derek Anderson, Arvydas Sabonis",7.9,"Rasheed Wallace",3.1,2003,5.5,0.00900000000000001,-3.6,-1.39999999999999,-0.01,-0.01,-0.0999999999999996,-1.39999999999999,0.027,6.3,4.2
"5",2003,"Utah Jazz at Sacramento Kings","Sacramento Kings","Utah Jazz",4,1,2003-04-19,1,6.8,0.499,13.3,25.6,0.196,0.446,13.6,70.6,0.204,"Doug Christie, Chris Webber, Peja Stojaković",10.6,"Doug Christie",3.6,2.7,0.486,16,32.5,0.283,0.468,15.2,70.2,0.256,"Karl Malone, Andrei Kirilenko, John Stockton",13,"Karl Malone",4.6,2003,4.1,0.013,-2.7,0.399999999999991,-0.087,-0.022,-1.6,0.399999999999991,-0.052,-2.4,-1
"6",2003,"Los Angeles Lakers at Minnesota Timberwolves","Minnesota Timberwolves","Los Angeles Lakers",1,2,2003-04-20,NA,2.3,0.488,12.9,28.2,0.206,0.472,12.7,72.9,0.203,"Kevin Garnett, Wally Szczerbiak, Rasho Nesterović",12.2,"Kevin Garnett",8.7,2.5,0.486,13.3,30.2,0.228,0.477,13.4,72.7,0.241,"Kobe Bryant, Shaquille O'Neal, Robert Horry",14.8,"Kobe Bryant",7.7,2003,-0.2,0.002,-0.4,0.200000000000003,-0.022,-0.005,-0.700000000000001,0.200000000000003,-0.038,-2.6,0.999999999999999
"7",2003,"New Orleans Hornets at Philadelphia 76ers","Philadelphia 76ers","New Orleans Hornets",3,2,2003-04-20,NA,2.5,0.466,13.7,30.3,0.263,0.488,16.2,72.7,0.243,"Allen Iverson, Eric Snow, Aaron McKie",8.8,"Allen Iverson",4.8,2.3,0.465,13.9,31.7,0.219,0.464,14,73.1,0.226,"Jamal Mashburn, P.J. Brown, Baron Davis",9,"Jamal Mashburn",3.5,2003,0.2,0.001,-0.200000000000001,-0.399999999999991,0.044,0.024,2.2,-0.399999999999991,0.017,-0.199999999999999,1.3
"8",2003,"Orlando Magic at Detroit Pistons","Detroit Pistons","Orlando Magic",4,3,2003-04-20,1,4.2,0.473,13.3,25.9,0.248,0.461,13.9,74,0.225,"Ben Wallace, Chauncey Billups, Jon Barry",10.4,"Ben Wallace",4.3,0.2,0.478,13.3,27,0.239,0.486,15.1,71.1,0.25,"Tracy McGrady, Darrell Armstrong, Grant Hill",12.1,"Tracy McGrady",9.3,2003,4,-0.005,0,2.90000000000001,0.00900000000000001,-0.025,-1.2,2.90000000000001,-0.025,-1.7,-5
"9",2003,"Boston Celtics at New Jersey Nets","New Jersey Nets","Boston Celtics",4,0,2003-05-05,1,5.7,0.468,13.8,28.7,0.252,0.46,15.7,73.1,0.225,"Jason Kidd, Kerry Kittles, Richard Jefferson",12.3,"Jason Kidd",6.5,-0.4,0.47,13.4,23.6,0.227,0.471,15.1,72.5,0.242,"Paul Pierce, Tony Delk, Antoine Walker",8.1,"Paul Pierce",5.4,2003,6.1,-0.00199999999999995,0.4,0.599999999999994,0.025,-0.011,0.6,0.599999999999994,-0.017,4.2,1.1
"10",2003,"Los Angeles Lakers at San Antonio Spurs","San Antonio Spurs","Los Angeles Lakers",4,2,2003-05-05,1,5.9,0.497,15.1,28.8,0.253,0.453,14.2,71.3,0.199,"Tim Duncan, David Robinson, Stephen Jackson",12.9,"Tim Duncan",7.7,2.5,0.486,13.3,30.2,0.228,0.477,13.4,72.7,0.241,"Kobe Bryant, Shaquille O'Neal, Robert Horry",14.8,"Kobe Bryant",7.7,2003,3.4,0.011,1.8,-1.40000000000001,0.025,-0.024,0.799999999999999,-1.40000000000001,-0.042,-1.9,0
