"","Team","net_rating","off_eFG","off_tov_rate","off_reb_rate","off_ft_fga_ratio","def_eFG","def_tov_rate","def_reb_rate","def_ft_fga_ratio","season","top_3_players","top_3_vorp","best_player","best_vorp","clutch_plus_minus"
"1","Atlanta Hawks",-3.8,0.476,15.7,27.9,0.248,0.469,12.1,70.4,0.222,2003,"Jason Terry, Shareef Abdur-Rahim, Glenn Robinson",7.4,"Jason Terry",3,0.4
"2","Atlanta Hawks",-5.1,0.465,15.4,28.6,0.235,0.476,13.1,70.5,0.234,2004,"Shareef Abdur-Rahim, Jason Terry, Stephen Jackson",5.3,"Shareef Abdur-Rahim",2.1,-1.6
"3","Atlanta Hawks",-10.5,0.464,14.9,30.7,0.212,0.513,14,72.1,0.289,2005,"Antoine Walker, Josh Childress, Josh Smith",2.5,"Antoine Walker",0.9,-2
"4","Atlanta Hawks",-5.2,0.486,14.7,31.4,0.255,0.513,14.1,69.5,0.275,2006,"Joe Johnson, Josh Childress, Josh Smith",5.7,"Joe Johnson",2.5,-1.3
"5","Atlanta Hawks",-5.3,0.471,15.1,29.2,0.263,0.503,14.5,70.9,0.268,2007,"Joe Johnson, Josh Smith, Josh Childress",7.3,"Joe Johnson",2.7,-0.6
"6","Atlanta Hawks",-2,0.483,14,29.7,0.263,0.501,12.9,71.7,0.217,2008,"Josh Smith, Joe Johnson, Josh Childress",8.7,"Josh Smith",3.7,-1.1
"7","Atlanta Hawks",1.7,0.504,12.5,26,0.238,0.494,13.2,71.6,0.21,2009,"Joe Johnson, Mike Bibby, Josh Smith",8.2,"Joe Johnson",3.1,1.1
"8","Atlanta Hawks",5.2,0.506,11.4,28.2,0.213,0.496,13.2,72.7,0.208,2010,"Josh Smith, Joe Johnson, Al Horford",11.6,"Josh Smith",5.1,0.7
"9","Atlanta Hawks",-0.9,0.501,13.5,23.4,0.209,0.495,12.3,74.6,0.211,2011,"Al Horford, Josh Smith, Joe Johnson",8.2,"Al Horford",3.9,0.9
"10","Atlanta Hawks",3.7,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186,2012,"Josh Smith, Joe Johnson, Jeff Teague",7.3,"Josh Smith",3.3,2.1
"11","Atlanta Hawks",0.4,0.517,14.2,22.2,0.174,0.496,14.2,73.6,0.181,2013,"Al Horford, Josh Smith, Kyle Korver",7.4,"Al Horford",2.7,0.6
"12","Atlanta Hawks",-0.5,0.515,14.3,21,0.208,0.51,14,74.4,0.196,2014,"Paul Millsap, Kyle Korver, DeMarre Carroll",6.5,"Paul Millsap",3,0.2
"13","Atlanta Hawks",5.8,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185,2015,"Al Horford, Paul Millsap, Kyle Korver",9.9,"Al Horford",3.6,2.1
"14","Atlanta Hawks",3.7,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,2016,"Paul Millsap, Al Horford, Jeff Teague",9.9,"Paul Millsap",4.1,0.6
"15","Atlanta Hawks",-0.8,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,2017,"Paul Millsap, Dwight Howard, Tim Hardaway Jr.",5.7,"Paul Millsap",2.4,1
"16","Atlanta Hawks",-5.6,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,2018,"Kent Bazemore, John Collins, Dewayne Dedmon",2.8,"Kent Bazemore",1.2,-0.9
"17","Atlanta Hawks",-5.8,0.522,14.3,24.7,0.192,0.541,12.8,76.4,0.237,2019,"John Collins, Dewayne Dedmon, Trae Young",3.2,"John Collins",1.3,0.4
"18","Atlanta Hawks",-7.6,0.515,13.8,21.6,0.204,0.543,12.7,74.9,0.233,2020,"Trae Young, John Collins, Jabari Parker",5.2,"Trae Young",3.1,-0.9
"19","Atlanta Hawks",2.4,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,2021,"Trae Young, Clint Capela, John Collins",7.2,"Trae Young",3,-0.6
"20","Atlanta Hawks",1.6,0.543,10.8,23,0.205,0.543,11.5,76.9,0.177,2022,"Trae Young, Clint Capela, Delon Wright",8.5,"Trae Young",4.8,-0.7
"21","Atlanta Hawks",0.3,0.541,11.2,25.1,0.2,0.552,12.4,75.8,0.206,2023,"Trae Young, Dejounte Murray, Clint Capela",7.3,"Trae Young",3.4,-1.5
"22","Atlanta Hawks",-1.5,0.539,11.3,27.8,0.207,0.571,12.4,74.4,0.192,2024,"Dejounte Murray, Trae Young, Jalen Johnson",5.8,"Dejounte Murray",2.3,-1.3
